 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Arrisdrift,ARS,-28.467,16.683,Namibia,||Karas Region,W,Desert Biome,5cm,conventional 14C,eggshell,Struthio camelus,Pta-2089,1300,50,LSA,,,open site,,vogel1981prd,
Arrisdrift,ARS,-28.467,16.683,Namibia,||Karas Region,W,Desert Biome,7-8cm,conventional 14C,eggshell,Struthio camelus,Pta-2136,1280,40,LSA,,,open site,,vogel1981prd,
Arrisdrift,ARS,-28.467,16.683,Namibia,||Karas Region,W,Desert Biome,5cm,conventional 14C,marine shell,Patella,Pta-2365,1590,50,LSA,,,open site,,vogel1981prd,
Aspoort Cave,AST,-32.500,19.519,South Africa,Western Cape,W,Succulent Karoo Biome,Hard grey matrix,conventional 14C,charcoal,,Pta-2179,5220,60,LSA,,,rock shelter,,smith1978ard,Samples collected from diffuse charcoal frags throughout the deposits
Aspoort Cave,AST,-32.500,19.519,South Africa,Western Cape,W,Succulent Karoo Biome,Loose silty matrix,conventional 14C,charcoal,,Pta-2182,690,30,LSA,,,rock shelter,,smith1978ard,Samples collected from diffuse charcoal frags throughout the deposits
Aspoort Cave,AST,-32.500,19.519,South Africa,Western Cape,W,Succulent Karoo Biome,,conventional 14C,charcoal,,Pta-2250,9420,160,LSA,,,rock shelter,,parkington1987prr,Samples collected from diffuse charcoal frags throughout the deposits
Aspoort Cave,AST,-32.500,19.519,South Africa,Western Cape,W,Succulent Karoo Biome,level 2,conventional 14C,charcoal,,Pta-2422,6850,145,LSA,,,rock shelter,,parkington1987prr,Samples collected from diffuse charcoal frags throughout the deposits
Augrabies,AUG,-28.533,20.233,South Africa,Northern Cape,S,Nama-Karoo Biome,Human burial NMB 1372,conventional 14C,bone,Homo sapiens,Pta-2901,210,40,LSA,Ceramic LSA,,Human burial,,morris1991nas,Late herder
Augrabies,AUG,-28.533,20.233,South Africa,Northern Cape,S,Nama-Karoo Biome,Human burial NMB 1427,conventional 14C,bone,Homo sapiens,Pta-2908,180,70,LSA,Ceramic LSA,,Human burial,,morris1991nas,Late herder
Augrabies,AUG,-28.533,20.233,South Africa,Northern Cape,S,Nama-Karoo Biome,,conventional 14C,charcoal,,Pta-3847,760,40,LSA,Ceramic LSA,,,-23.8,smith1986ccc; morris1991nas,Doornfontein
Baboon Point Terrace,BPT,-32.318,18.316,South Africa,Western Cape,W,Fynbos Biome,BPT1,AMS,marine shell,Choromytilus meridionalis,UGAMS-5672,1580,30,,,,shell midden,,jerardino2014dcs,
Baboon Point Terrace,BPT,-32.318,18.316,South Africa,Western Cape,W,Fynbos Biome,BPT2,AMS,marine shell,Choromytilus meridionalis,UGAMS-5673,1460,30,,,,shell midden,,jerardino2014dcs,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,SF,conventional 14C,charcoal,,Pta-7972,240,15,LSA,Ceramic LSA,,rock shelter,,vandoornum2008sch,
Balerno Main Shelter,BMS,-22.265,29.188,South Africa,Limpopo,S,Savanna Biome,ABR,conventional 14C,eggshell,Struthio camelus,Pta-8591,7350,80,LSA,,,rock shelter,,vandoornum2008sch,
